user_id,avg_order_value,monthly_spending,products_in_latest_month,categories_in_latest_month,product_prices_in_latest_month
U000001,0.0,0.0,[],[],[]
U000002,0.0,0.0,[],[],[]
U000003,563.365,108.44,['Zenith Garden'],['Books'],[54.22]
U000004,0.0,0.0,[],[],[]
U000005,0.0,0.0,[],[],[]
U000006,455.92,455.92,"['Pulse Decision', 'Solace Travel', 'Zenith Garden']","['Toys', 'Automotive', 'Books']","[50.01, 297.47, 54.22]"
U000007,0.0,0.0,[],[],[]
U000008,0.0,0.0,[],[],[]
U000009,0.0,0.0,[],[],[]
U000010,247.2,247.2,['Astra Sometimes'],['Pet Supplies'],[82.4]
U000011,0.0,0.0,[],[],[]
U000012,0.0,0.0,[],[],[]
U000013,0.0,0.0,[],[],[]
U000014,0.0,0.0,[],[],[]
U000015,0.0,0.0,[],[],[]
U000016,954.86,954.86,"['Solace Represent', 'Harbor Last', 'Solace Across', 'Harbor Notice']","['Beauty', 'Electronics', 'Clothing', 'Pet Supplies']","[154.03, 234.99, 25.1, 70.76]"
U000017,0.0,0.0,[],[],[]
U000018,0.0,0.0,[],[],[]
U000019,303.73,303.73,"['Zenith What', 'Solace Personal']","['Beauty', 'Beauty']","[73.71, 156.31]"
U000020,0.0,0.0,[],[],[]
U000021,0.0,0.0,[],[],[]
U000022,1097.97,1097.97,"['GreenLeaf Newspaper', 'Zenith Nation', 'Acme Figure']","['Electronics', 'Books', 'Home & Kitchen']","[527.87, 42.5, 263.8]"
U000023,2869.96,2869.96,"['Acme Him', 'Acme Memory', 'GreenLeaf Without']","['Electronics', 'Clothing', 'Beauty']","[1290.2, 157.0, 132.56]"
U000024,148.16,148.16,"['Willow Law', 'NeoTech Protect']","['Beauty', 'Beauty']","[67.41, 13.34]"
U000025,0.0,0.0,[],[],[]
U000026,441.2,441.2,"['GreenLeaf Say', 'Willow Commercial', 'Everest Exactly', 'Nimbus Happy']","['Pet Supplies', 'Groceries', 'Home & Kitchen', 'Groceries']","[43.4, 24.09, 318.64, 11.67]"
U000027,0.0,0.0,[],[],[]
U000028,0.0,0.0,[],[],[]
U000029,0.0,0.0,[],[],[]
