user_id, segment_id, segment_name         , total_orders, completed_orders, bad_orders, cancellation_rate  , days_since_signup
U000001,          1, Frequent Shoppers    ,          1.0,              0.0,        0.0, 0.0                ,               424
U000002,          2, Risky Frequent Buyers,          4.0,              0.0,        1.0, 0.25               ,               797
U000003,          0, Low Frequency Users  ,          3.0,              2.0,        1.0, 0.3333333333333333 ,               308
U000004,          3, Bad Customers        ,          3.0,              0.0,        2.0, 0.6666666666666666 ,               795
U000005,          3, Bad Customers        ,          1.0,              0.0,        1.0, 1.0                ,               467
U000006,          0, Low Frequency Users  ,          6.0,              1.0,        1.0, 0.16666666666666666,               750
U000007,          2, Risky Frequent Buyers,          0.0,              0.0,        0.0, 0.0                ,               677
U000008,          3, Bad Customers        ,          2.0,              0.0,        1.0, 0.5                ,               646
U000009,          3, Bad Customers        ,          1.0,              0.0,        1.0, 1.0                ,               693
U000010,          0, Low Frequency Users  ,          5.0,              1.0,        3.0, 0.6                ,               799
U000011,          1, Frequent Shoppers    ,          2.0,              0.0,        0.0, 0.0                ,               500
U000012,          2, Risky Frequent Buyers,          2.0,              0.0,        1.0, 0.5                ,               785
U000013,          1, Frequent Shoppers    ,          1.0,              0.0,        0.0, 0.0                ,               445
U000014,          2, Risky Frequent Buyers,          1.0,              0.0,        0.0, 0.0                ,               698
U000015,          1, Frequent Shoppers    ,          0.0,              0.0,        0.0, 0.0                ,               214
U000016,          1, Frequent Shoppers    ,          1.0,              1.0,        0.0, 0.0                ,               181
U000017,          3, Bad Customers        ,          1.0,              0.0,        1.0, 1.0                ,               704
U000018,          3, Bad Customers        ,          1.0,              0.0,        1.0, 1.0                ,               715
U000019,          0, Low Frequency Users  ,          2.0,              1.0,        0.0, 0.0                ,               567
U000020,          2, Risky Frequent Buyers,          3.0,              0.0,        1.0, 0.3333333333333333 ,               691
U000021,          3, Bad Customers        ,          4.0,              0.0,        3.0, 0.75               ,               795
U000022,          0, Low Frequency Users  ,          3.0,              1.0,        1.0, 0.3333333333333333 ,               715
